platform,Facebook,Google Play Store,Google Play Store,Instagram,LinkedIn,TikTok,Trustpilot,Trustpilot,Twitter,YouTube
metric_type,follower_count,review_count,star_rating,follower_count,follower_count,follower_count,review_count,star_rating,follower_count,follower_count
competitor,,,,,,,,,,
Amazon Prime Video,587.0,5017373.0,4.1612629890441895,0.0,0.0,24.0,2707.0,0.0,0.0,0.0
BT Sport,0.0,25431.0,3.7142856121063232,0.0,0.0,363.0,41.0,0.0,0.0,0.0
DAZN,7.0,601748.0,4.548672676086426,0.0,242024.0,73300.0,36583.0,0.0,0.0,0.0
DirecTV Stream,0.0,23863871.0,4.690000057220459,0.0,140.0,4.0,3033.0,0.0,0.0,0.0
Discovery+,0.0,41292.0,3.409090995788574,0.0,0.0,0.0,35.0,0.0,0.0,0.0
ESPN,24.0,1180167.0,4.050000190734863,0.0,872817.0,56700000.0,1184.0,0.0,0.0,0.0
Eurosport,81.0,299042.0,4.550000190734863,0.0,60551.0,2.0,775.0,0.0,0.0,0.0
FuboTV,315.0,601748.0,4.548672676086426,0.0,23478.0,0.0,8457.0,0.0,0.0,0.0
Hulu + Live TV,0.0,472866.0,3.380000114440918,0.0,0.0,0.0,3111.0,0.0,0.0,0.0
NOW,0.0,1831794.0,4.736916542053223,0.0,375.0,865200.0,14682.0,0.0,0.0,0.0
Paramount+,0.0,0.0,0.0,0.0,0.0,0.0,3311.0,0.0,0.0,0.0
Peacock,0.0,68295033.0,4.390046119689941,0.0,0.0,4900000.0,8.0,0.0,0.0,0.0
Sky Sports,17.0,88870.0,4.550000190734863,0.0,0.0,4700000.0,1588.0,0.0,0.0,0.0
Sling TV,0.0,5017373.0,4.1612629890441895,0.0,21481.0,0.0,24.0,0.0,0.0,0.0
TNT Sports,13.0,25431.0,3.7142856121063232,0.0,0.0,1800000.0,650.0,0.0,0.0,0.0
YouTube TV,47.0,154202.0,3.613861322402954,0.0,0.0,8.0,71.0,0.0,0.0,0.0
